ID,OBJID,RELATIVE_FRAME,LANE_ID,ORIENTATION,SOLIDITY,AREA,WIDTH,COMPACTNESS_RATIO,ASPECT_RATIO,ECCENTRICITY,CENTROID_X,CENTROID_Y,YOCC,YCLASS
7,8,2,4,0.8947,0.81433,0.38753,0.77873,0.40703,1.0769,0.81963,247.35,198.96,0,2
7,8,3,4,0.88602,0.88485,0.37955,0.76537,0.63067,1.0385,0.75902,247.54,200.55,0,2
7,8,4,4,0.8999,0.85199,0.39257,0.75913,0.5047,1.0769,0.76511,248.16,201.32,0,2
7,8,5,4,0.86936,0.82737,0.37843,0.74372,0.49385,1.2308,0.70009,248.98,203.26,0,2
7,8,6,4,0.94889,0.90253,0.36664,0.67537,0.73277,1.2083,0.7648,249.49,204.84,0,2
7,8,7,4,0.99361,0.79704,0.40047,0.81849,0.4663,1.1667,0.81318,250.35,207.91,0,2
7,8,8,4,0.93916,0.91104,0.39921,0.69857,0.71777,1.1923,0.85234,251.08,209.46,0,2
7,8,9,4,0.99895,0.88217,0.38917,0.74212,0.58491,1.0714,0.82995,251.59,210.86,0,2
7,8,10,4,0.99412,0.86484,0.4084,0.80777,0.51389,1.0968,0.80395,252.72,212.63,0,2
7,8,11,4,0.99908,0.84615,0.39557,0.74154,0.5126,1.1724,0.8104,252.9,214.63,0,2
7,8,12,4,0.99627,0.80651,0.42833,0.77014,0.35957,1.2581,0.71617,254.47,217.77,0,2
7,8,13,4,0.95399,0.78338,0.44937,0.87886,0.4357,1.1111,0.7033,254.27,219.71,0,2
8,10,1,4,0.90706,0.90891,0.31935,0.67889,0.74839,1.0556,0.90003,239.25,180.12,0,2
8,10,2,4,0.96071,0.90763,0.31861,0.6383,0.65728,1.1765,0.87924,239.42,180.45,0,2
8,10,3,4,0.79072,0.92224,0.34742,0.73822,0.7702,0.95,0.90999,239.99,181.71,0,2
8,10,4,4,0.51908,0.89552,0.31956,0.72979,0.67211,0.9,0.91949,239.86,182.56,0,2
8,10,5,4,0.8192,0.91448,0.33646,0.71671,0.72318,0.95,0.89536,240.74,183.93,0,2
8,10,6,4,0.84777,0.89816,0.33723,0.70814,0.75977,1,0.86988,241.03,184.86,0,2
8,10,7,4,0.86174,0.91326,0.34498,0.70327,0.75176,1,0.93094,241.5,185.39,0,2
8,10,8,4,0.97441,0.89198,0.32864,0.69456,0.68178,1.05,0.91273,241.53,186.37,0,2
8,10,9,4,0.79036,0.85694,0.34816,0.75388,0.65055,1,0.93329,242.1,187.43,0,2
8,10,10,4,0.8149,0.88936,0.35149,0.73665,0.70558,0.95455,0.84819,242.69,189.3,0,2
8,10,11,4,0.81051,0.92388,0.33679,0.72572,0.78991,0.95455,0.85724,242.96,190.53,0,2
8,10,12,4,0.7823,0.87675,0.3655,0.71607,0.61453,1,0.845,243.47,191.66,0,2
8,10,13,4,0.84294,0.89583,0.37896,0.7084,0.66604,1.0455,0.84635,243.61,192.57,0,2
8,10,14,4,0.87088,0.89535,0.35293,0.70213,0.76244,1.0909,0.84458,244.02,193.33,0,2
8,10,15,4,0.99134,0.89738,0.3658,0.6862,0.69215,1.1364,0.84421,244.56,195.32,0,2
8,10,16,4,0.9162,0.90993,0.37442,0.70902,0.74437,1.1304,0.86698,244.93,196.36,0,2
